stop,amtrak_ind
Ardmore,1
Cornwells Heights,1
Downingtown,1
Exton,1
Gray 30th Street,1
Newark,1
North Philadelphia,1
North Philadelphia Amtrak,1
Paoli,1
Trenton,1
Wilmington,1
